id,exercise_name,muscle_group,exercise_type,equipment_needed,video_url,instructions,difficulty_level
1,Monitored Zero Tolerance Graphical User Interface,Legs,strength,bodyweight,https://fightfit.ai/videos/ex_1.mp4,Veniam voluptatibus sapiente voluptate mollitia beatae. Sit magnam quisquam eligendi sunt.,beginner
2,Ameliorated Multimedia Internet Solution,Back,plyometric,dumbbells,https://fightfit.ai/videos/ex_2.mp4,Quaerat quidem molestias cupiditate quod ut. Assumenda necessitatibus veritatis architecto facere velit.,advanced
3,Sharable Context-Sensitive Firmware,Biceps,strength,resistance_bands,https://fightfit.ai/videos/ex_3.mp4,Asperiores neque velit quisquam.,advanced
4,Configurable Even-Keeled Task-Force,Shoulders,plyometric,bodyweight,https://fightfit.ai/videos/ex_4.mp4,Laboriosam voluptate veritatis sint voluptas ab. Quidem delectus iure accusantium. Nemo voluptatibus totam sed tenetur.,intermediate
5,Expanded Analyzing Focus Group,Back,plyometric,resistance_bands,https://fightfit.ai/videos/ex_5.mp4,Aliquid totam harum assumenda mollitia. Quidem numquam incidunt recusandae ducimus.,beginner
6,Up-Sized Secondary Utilization,Legs,stretch,bodyweight,https://fightfit.ai/videos/ex_6.mp4,Id consequuntur aliquid ipsam voluptas a. Soluta aut ex eveniet placeat nesciunt cumque. Necessitatibus vitae nesciunt vitae quasi vero maiores.,intermediate
7,Multi-Lateral Modular Concept,Chest,strength,bodyweight,https://fightfit.ai/videos/ex_7.mp4,Quae facere dolores vel. Magni temporibus reprehenderit fugit quod nemo. Iusto cupiditate tenetur eaque nisi.,advanced
8,Re-Engineered Homogeneous Support,Biceps,stretch,bodyweight,https://fightfit.ai/videos/ex_8.mp4,Perferendis accusantium officiis tempora. Dicta eos quos voluptatum iste similique odio.,beginner
9,Innovative Scalable Standardization,Core,stretch,bodyweight,https://fightfit.ai/videos/ex_9.mp4,Fugiat dolorum laudantium. In dicta recusandae deleniti magni voluptatibus. Enim qui dolores rem.,advanced
10,Ameliorated Asynchronous Internet Solution,Core,plyometric,bodyweight,https://fightfit.ai/videos/ex_10.mp4,Dolorum cumque laborum alias. Veritatis accusamus tempora distinctio molestiae tempore. Numquam cupiditate magnam laboriosam laborum natus.,intermediate
11,User-Centric Even-Keeled Portal,Shoulders,strength,kettlebell,https://fightfit.ai/videos/ex_11.mp4,Ea distinctio sed ducimus.,advanced
12,Open-Architected Mobile Product,Biceps,stretch,bodyweight,https://fightfit.ai/videos/ex_12.mp4,Dignissimos ducimus expedita ducimus incidunt. Non impedit perspiciatis minima harum voluptate.,beginner
13,Profit-Focused 3Rdgeneration Synergy,Biceps,plyometric,resistance_bands,https://fightfit.ai/videos/ex_13.mp4,Voluptatibus rerum atque nihil quia. Cumque id minima et asperiores officia nemo quidem.,advanced
14,Distributed 3Rdgeneration Implementation,Biceps,cardio,resistance_bands,https://fightfit.ai/videos/ex_14.mp4,Blanditiis quo ipsa quas commodi illo est repudiandae. Praesentium voluptas atque explicabo itaque iste.,intermediate
15,Right-Sized Dedicated System Engine,Triceps,cardio,kettlebell,https://fightfit.ai/videos/ex_15.mp4,Repellat culpa officiis culpa nihil quod modi. Culpa necessitatibus eius porro.,intermediate
16,Front-Line Didactic Functionalities,Back,cardio,resistance_bands,https://fightfit.ai/videos/ex_16.mp4,Quisquam aperiam nulla repudiandae odit. Perspiciatis porro ut. Dignissimos ad libero quas ducimus.,beginner
17,Advanced Upward-Trending Local Area Network,Shoulders,strength,resistance_bands,https://fightfit.ai/videos/ex_17.mp4,Porro necessitatibus sapiente fugit quos tenetur numquam sunt. Eveniet laudantium dolorum qui adipisci.,beginner
18,Expanded Holistic Orchestration,Full Body,strength,resistance_bands,https://fightfit.ai/videos/ex_18.mp4,Maiores dolor itaque inventore minus saepe voluptatum. Quaerat molestiae sit dignissimos ullam velit. Nesciunt consequatur animi dolorum asperiores illum explicabo.,advanced
19,Optimized Solution-Oriented Alliance,Legs,strength,bodyweight,https://fightfit.ai/videos/ex_19.mp4,In labore cupiditate rem ipsa veniam error. Accusamus reiciendis assumenda in quasi occaecati. Aliquam eius cupiditate quia. Facere harum nihil iusto tempore dolorum quasi.,intermediate
