id,log_id,exercise_id,set_number,time_seconds,reps_completed,weight_kg
2,1,15,1,30.0,,
4,1,89,2,45.0,,
6,1,125,3,60.0,,
8,1,9,4,45.0,,
10,1,123,5,60.0,,
12,1,44,6,30.0,,
14,1,135,7,,10.0,52.5
16,2,80,1,30.0,,
18,2,54,2,45.0,,
20,2,11,3,60.0,,
22,2,77,4,30.0,,
24,2,38,5,45.0,,
26,3,72,1,,12.0,37.5
28,3,40,2,,12.0,40.0
30,3,56,3,60.0,,
32,3,104,4,30.0,,
34,3,132,5,,8.0,35.0
36,4,71,1,,12.0,42.5
38,4,48,2,,12.0,35.0
40,4,135,3,,12.0,55.0
42,4,149,4,30.0,,
44,4,44,5,60.0,,
46,4,12,6,30.0,,
48,4,38,7,60.0,,
50,4,84,8,30.0,,
52,5,78,1,45.0,,
54,5,21,2,60.0,,
56,5,149,3,45.0,,
58,5,21,4,45.0,,
60,5,6,5,60.0,,
62,5,11,6,30.0,,
64,6,21,1,30.0,,
66,6,141,2,45.0,,
68,6,101,3,45.0,,
70,6,142,4,,10.0,42.5
72,6,146,5,,12.0,22.5
74,6,141,6,60.0,,
76,6,10,7,30.0,,
78,7,25,1,60.0,,
80,7,140,2,30.0,,
82,7,22,3,30.0,,
84,7,50,4,30.0,,
86,7,149,5,60.0,,
88,7,115,6,60.0,,
90,7,5,7,60.0,,
92,7,78,8,30.0,,
94,8,89,1,30.0,,
96,8,88,2,30.0,,
98,8,71,3,,8.0,45.0
100,8,137,4,45.0,,
102,8,60,5,30.0,,
104,8,71,6,,10.0,45.0
106,8,25,7,45.0,,
108,9,85,1,,8.0,25.0
110,9,26,2,60.0,,
112,9,143,3,45.0,,
114,9,1,4,45.0,,
116,9,149,5,45.0,,
118,9,142,6,,12.0,42.5
120,10,148,1,45.0,,
122,10,5,2,30.0,,
124,10,59,3,30.0,,
126,10,41,4,,10.0,37.5
128,10,134,5,45.0,,
130,10,9,6,30.0,,
132,10,55,7,,10.0,55.0
134,11,62,1,30.0,,
136,11,3,2,60.0,,
138,11,123,3,30.0,,
140,11,146,4,,12.0,25.0
142,11,40,5,,12.0,45.0
144,11,8,6,,10.0,67.5
146,11,143,7,30.0,,
148,11,76,8,45.0,,
150,12,55,1,,10.0,55.0
152,12,80,2,30.0,,
154,12,10,3,45.0,,
156,12,84,4,45.0,,
158,12,137,5,45.0,,
160,12,113,6,30.0,,
162,12,100,7,30.0,,
164,13,71,1,,10.0,47.5
166,13,6,2,45.0,,
168,13,100,3,45.0,,
170,13,21,4,60.0,,
172,13,13,5,,12.0,65.0
