id,user_id,workout_name,log_date,duration_minutes,perceived_exertion,user_notes
1,1,Biceps Day,2024-12-18,55,6,Tough one today.
2,1,Legs Day,2025-01-02,49,6,Tough one today.
3,1,Full Body Day,2025-03-29,39,7,Tough one today.
4,1,Full Body Day,2025-07-25,32,5,Felt good!
5,1,Triceps Day,2025-07-14,47,6,Felt good!
6,1,Back Day,2024-11-10,26,4,Felt good!
7,1,Biceps Day,2025-04-20,41,5,Tough one today.
8,1,Chest Day,2025-06-04,52,6,Felt good!
9,1,Triceps Day,2025-05-12,36,5,Felt good!
10,1,Full Body Day,2025-02-15,32,7,Tough one today.
11,1,Chest Day,2024-10-14,41,4,Felt good!
12,1,Full Body Day,2025-04-20,54,5,Felt good!
13,1,Core Day,2024-09-07,28,9,Felt good!
14,1,Back Day,2025-07-01,37,7,Felt good!
15,1,Core Day,2024-09-16,63,8,Felt good!
16,1,Biceps Day,2024-12-24,48,8,Felt good!
17,1,Triceps Day,2025-05-28,53,6,Felt good!
18,1,Core Day,2024-08-12,30,6,Felt good!
19,1,Triceps Day,2025-07-14,38,9,Felt good!
20,1,Core Day,2025-02-09,48,8,Tough one today.
21,1,Chest Day,2025-07-08,62,4,Tough one today.
22,1,Triceps Day,2025-01-12,35,4,Felt good!
23,1,Full Body Day,2024-11-26,31,6,Tough one today.
24,2,Core Day,2025-04-26,36,6,Felt good!
25,2,Back Day,2024-09-05,64,4,Tough one today.
26,2,Core Day,2025-02-04,61,8,Tough one today.
27,2,Shoulders Day,2024-11-28,55,4,Felt good!
28,2,Shoulders Day,2024-09-09,48,7,Tough one today.
29,2,Legs Day,2025-07-29,38,7,Felt good!
30,2,Shoulders Day,2025-01-18,34,7,Felt good!
31,2,Biceps Day,2024-12-02,63,5,Tough one today.
32,2,Biceps Day,2024-12-16,62,5,Felt good!
33,2,Legs Day,2025-06-13,43,9,Felt good!
34,2,Triceps Day,2025-06-08,52,9,Felt good!
35,2,Core Day,2024-09-23,30,5,Felt good!
36,2,Back Day,2024-10-30,37,5,Felt good!
37,2,Triceps Day,2024-08-20,56,8,Tough one today.
38,2,Shoulders Day,2025-05-18,50,5,Felt good!
39,3,Full Body Day,2025-07-08,61,9,Felt good!
40,3,Full Body Day,2025-07-23,59,8,Felt good!
41,3,Biceps Day,2025-02-13,48,8,Felt good!
42,3,Biceps Day,2025-06-25,26,8,Felt good!
43,3,Back Day,2025-03-31,49,9,Tough one today.
44,3,Core Day,2025-07-09,35,8,Tough one today.
45,4,Back Day,2025-03-16,32,9,Felt good!
46,4,Shoulders Day,2024-12-14,63,7,Felt good!
47,4,Legs Day,2024-12-18,41,4,Felt good!
48,4,Core Day,2025-01-07,44,8,Felt good!
49,4,Legs Day,2024-08-28,30,5,Tough one today.
50,4,Back Day,2025-06-30,62,8,Tough one today.
51,4,Full Body Day,2024-09-13,35,8,Tough one today.
52,4,Triceps Day,2025-01-30,29,4,Tough one today.
53,4,Full Body Day,2025-01-24,37,7,Felt good!
54,4,Legs Day,2025-03-13,58,6,Felt good!
55,4,Core Day,2024-08-20,59,4,Felt good!
56,4,Shoulders Day,2024-09-13,52,9,Felt good!
57,4,Biceps Day,2024-11-28,56,8,Felt good!
58,4,Biceps Day,2025-01-05,57,4,Tough one today.
59,4,Legs Day,2024-10-04,35,8,Tough one today.
60,4,Core Day,2024-12-02,61,4,Tough one today.
61,4,Full Body Day,2025-07-12,61,7,Felt good!
62,4,Chest Day,2024-12-23,45,7,Felt good!
63,4,Back Day,2025-04-10,42,9,Tough one today.
64,4,Full Body Day,2024-08-25,37,7,Felt good!
65,4,Back Day,2024-08-31,40,4,Felt good!
66,4,Triceps Day,2025-07-17,49,5,Tough one today.
67,4,Core Day,2024-10-15,40,8,Tough one today.
68,4,Shoulders Day,2025-06-19,60,5,Tough one today.
69,4,Chest Day,2025-06-14,46,5,Felt good!
70,5,Chest Day,2025-03-25,62,6,Felt good!
71,5,Legs Day,2025-07-10,37,9,Felt good!
72,5,Full Body Day,2025-04-11,34,9,Felt good!
73,5,Core Day,2024-11-06,37,4,Felt good!
74,5,Back Day,2025-05-12,58,8,Felt good!
75,5,Core Day,2024-10-09,45,5,Felt good!
76,5,Shoulders Day,2025-04-12,35,6,Felt good!
77,5,Core Day,2024-08-03,29,4,Felt good!
78,5,Back Day,2024-10-26,50,9,Felt good!
79,5,Legs Day,2024-10-12,48,5,Felt good!
80,5,Legs Day,2024-11-01,54,4,Felt good!
81,5,Legs Day,2024-09-08,40,5,Felt good!
82,5,Full Body Day,2024-09-16,50,6,Felt good!
83,5,Shoulders Day,2024-11-28,62,9,Felt good!
84,5,Shoulders Day,2025-06-20,51,4,Tough one today.
85,5,Legs Day,2025-03-25,29,4,Tough one today.
86,5,Biceps Day,2025-01-22,48,4,Tough one today.
87,5,Shoulders Day,2025-02-16,34,8,Tough one today.
88,5,Biceps Day,2025-02-19,27,4,Felt good!
89,5,Legs Day,2024-10-16,27,4,Tough one today.
90,5,Core Day,2024-08-29,56,4,Felt good!
91,5,Shoulders Day,2025-04-15,46,7,Felt good!
92,5,Triceps Day,2025-05-07,65,5,Felt good!
93,5,Legs Day,2024-10-27,60,7,Tough one today.
94,6,Legs Day,2024-10-31,36,7,Felt good!
95,6,Full Body Day,2025-07-06,29,7,Tough one today.
96,6,Triceps Day,2025-02-02,54,5,Tough one today.
97,6,Chest Day,2024-10-27,55,6,Felt good!
98,6,Full Body Day,2025-07-22,46,4,Tough one today.
99,6,Biceps Day,2025-03-29,56,9,Felt good!
100,6,Core Day,2024-10-22,36,7,Tough one today.
101,6,Shoulders Day,2024-08-28,31,9,Felt good!
102,6,Back Day,2024-09-11,42,9,Tough one today.
103,7,Back Day,2024-09-21,55,9,Felt good!
104,7,Biceps Day,2024-10-12,49,7,Felt good!
105,7,Core Day,2025-06-06,39,9,Felt good!
106,7,Triceps Day,2025-01-30,57,5,Tough one today.
107,7,Back Day,2025-03-03,61,6,Tough one today.
108,8,Core Day,2024-08-29,56,8,Felt good!
109,8,Legs Day,2025-04-26,45,6,Tough one today.
110,8,Core Day,2025-05-12,50,9,Tough one today.
111,8,Biceps Day,2025-03-10,31,7,Felt good!
112,8,Back Day,2025-05-14,27,7,Felt good!
113,8,Shoulders Day,2025-04-11,51,8,Felt good!
114,8,Biceps Day,2025-07-28,29,7,Felt good!
115,8,Core Day,2024-12-20,30,7,Felt good!
116,8,Legs Day,2025-04-13,34,6,Tough one today.
117,8,Core Day,2024-11-27,34,7,Felt good!
118,8,Core Day,2025-05-26,45,6,Felt good!
119,8,Shoulders Day,2025-07-01,30,5,Felt good!
120,8,Full Body Day,2025-04-16,48,8,Tough one today.
121,8,Legs Day,2024-09-19,29,4,Felt good!
122,8,Triceps Day,2025-06-19,53,4,Tough one today.
123,8,Full Body Day,2025-07-04,55,8,Tough one today.
124,8,Chest Day,2024-12-03,47,8,Tough one today.
125,8,Chest Day,2024-09-12,40,5,Felt good!
126,8,Chest Day,2024-12-07,34,9,Felt good!
127,9,Back Day,2024-11-05,34,9,Felt good!
128,9,Shoulders Day,2025-01-04,48,5,Felt good!
129,9,Triceps Day,2025-03-30,35,6,Felt good!
130,9,Chest Day,2025-05-04,62,9,Felt good!
131,9,Core Day,2024-11-11,48,6,Felt good!
132,9,Biceps Day,2024-12-15,30,7,Felt good!
133,9,Biceps Day,2025-06-12,55,9,Felt good!
134,9,Biceps Day,2025-03-09,48,5,Felt good!
135,9,Biceps Day,2025-04-07,33,9,Felt good!
136,9,Back Day,2024-10-17,62,9,Felt good!
137,9,Triceps Day,2025-01-21,60,9,Felt good!
138,9,Triceps Day,2025-03-23,36,4,Felt good!
139,9,Biceps Day,2024-09-05,40,9,Felt good!
140,9,Chest Day,2025-04-04,41,5,Tough one today.
141,9,Full Body Day,2025-02-04,62,7,Tough one today.
142,9,Back Day,2025-01-10,45,6,Tough one today.
143,9,Triceps Day,2025-05-19,51,5,Felt good!
144,10,Shoulders Day,2025-05-25,48,8,Felt good!
145,10,Chest Day,2025-07-28,64,7,Felt good!
146,10,Chest Day,2025-04-26,31,6,Felt good!
147,10,Shoulders Day,2025-03-11,56,4,Tough one today.
148,10,Biceps Day,2024-10-10,55,4,Tough one today.
149,10,Core Day,2024-10-20,39,6,Felt good!
150,10,Full Body Day,2025-05-02,51,6,Felt good!
151,10,Triceps Day,2025-07-29,56,4,Felt good!
152,10,Shoulders Day,2024-12-25,63,6,Tough one today.
153,10,Chest Day,2025-04-28,65,8,Felt good!
154,11,Legs Day,2025-01-06,46,4,Tough one today.
155,11,Full Body Day,2024-12-11,62,7,Felt good!
156,11,Legs Day,2024-10-20,36,6,Felt good!
157,11,Shoulders Day,2025-02-23,48,4,Felt good!
158,11,Shoulders Day,2024-09-12,52,9,Felt good!
159,11,Back Day,2025-06-14,29,6,Felt good!
160,11,Shoulders Day,2025-03-17,51,7,Felt good!
161,11,Full Body Day,2024-08-05,37,7,Felt good!
162,11,Shoulders Day,2024-09-13,43,5,Felt good!
163,12,Legs Day,2024-11-21,46,7,Felt good!
164,12,Full Body Day,2025-06-17,51,6,Felt good!
165,12,Full Body Day,2024-09-14,54,8,Felt good!
166,12,Shoulders Day,2024-10-21,29,9,Felt good!
167,12,Chest Day,2025-05-04,37,4,Tough one today.
168,12,Legs Day,2024-12-03,34,4,Felt good!
169,12,Biceps Day,2025-05-14,64,8,Felt good!
170,13,Triceps Day,2025-07-10,55,7,Tough one today.
171,13,Shoulders Day,2025-02-12,29,6,Felt good!
172,13,Core Day,2025-06-06,59,8,Felt good!
173,13,Legs Day,2024-09-08,31,5,Felt good!
174,13,Biceps Day,2025-05-04,28,9,Felt good!
175,13,Core Day,2024-08-17,40,8,Tough one today.
176,13,Full Body Day,2024-10-27,28,7,Felt good!
177,13,Biceps Day,2024-08-19,55,9,Felt good!
178,13,Full Body Day,2024-11-30,30,8,Felt good!
179,13,Core Day,2024-08-31,43,7,Felt good!
180,13,Shoulders Day,2025-05-12,41,4,Felt good!
181,13,Full Body Day,2025-07-29,52,8,Felt good!
182,13,Core Day,2025-02-07,47,7,Felt good!
183,13,Back Day,2024-10-27,57,6,Felt good!
184,13,Full Body Day,2025-05-31,29,7,Tough one today.
185,13,Legs Day,2024-10-27,49,4,Tough one today.
186,13,Core Day,2025-04-30,57,8,Tough one today.
187,13,Core Day,2025-03-10,28,6,Felt good!
188,13,Back Day,2025-05-10,54,6,Felt good!
189,14,Legs Day,2025-01-21,33,7,Tough one today.
190,14,Back Day,2024-10-13,37,7,Tough one today.
191,14,Legs Day,2024-09-15,34,4,Felt good!
192,14,Full Body Day,2024-09-29,42,9,Tough one today.
193,14,Biceps Day,2025-05-08,28,8,Felt good!
194,14,Chest Day,2024-09-30,47,8,Felt good!
195,14,Legs Day,2024-12-04,41,5,Tough one today.
196,14,Biceps Day,2024-08-29,50,9,Tough one today.
197,14,Back Day,2024-10-08,47,6,Tough one today.
198,14,Legs Day,2025-05-21,61,4,Tough one today.
199,14,Shoulders Day,2025-07-20,34,7,Tough one today.
200,14,Back Day,2025-07-28,58,7,Tough one today.
201,14,Shoulders Day,2024-10-08,27,9,Felt good!
202,14,Triceps Day,2024-11-24,64,6,Tough one today.
203,14,Core Day,2024-11-15,48,8,Felt good!
204,14,Full Body Day,2024-11-27,52,6,Felt good!
205,14,Back Day,2024-09-05,31,8,Felt good!
206,14,Core Day,2024-12-18,53,7,Felt good!
207,14,Biceps Day,2025-02-11,40,5,Felt good!
208,14,Triceps Day,2025-05-13,65,4,Tough one today.
209,15,Biceps Day,2025-04-25,41,4,Tough one today.
210,15,Back Day,2025-05-09,40,6,Tough one today.
211,15,Chest Day,2025-06-08,45,8,Felt good!
212,15,Back Day,2025-03-25,26,5,Felt good!
213,15,Chest Day,2024-10-30,58,7,Felt good!
214,15,Back Day,2025-01-29,63,8,Felt good!
215,15,Shoulders Day,2024-12-14,51,8,Tough one today.
216,15,Back Day,2025-02-28,35,7,Felt good!
217,15,Core Day,2024-08-31,63,7,Felt good!
218,15,Full Body Day,2024-09-14,39,4,Tough one today.
219,15,Shoulders Day,2025-07-14,29,6,Felt good!
220,15,Shoulders Day,2025-07-20,41,4,Felt good!
221,15,Chest Day,2025-01-18,38,5,Felt good!
222,15,Chest Day,2025-05-29,64,7,Felt good!
223,15,Legs Day,2024-11-01,59,6,Felt good!
224,16,Triceps Day,2024-09-12,53,9,Tough one today.
225,16,Core Day,2024-11-22,52,8,Felt good!
226,16,Biceps Day,2024-09-26,25,4,Felt good!
227,16,Chest Day,2025-07-15,39,7,Felt good!
228,16,Core Day,2025-01-01,53,6,Felt good!
229,17,Biceps Day,2025-03-11,57,7,Felt good!
230,17,Full Body Day,2025-01-07,54,5,Felt good!
231,17,Shoulders Day,2024-10-24,42,4,Felt good!
232,17,Shoulders Day,2024-08-12,51,5,Felt good!
233,17,Back Day,2025-04-26,61,8,Felt good!
234,17,Biceps Day,2025-02-28,31,4,Felt good!
235,17,Chest Day,2025-02-14,56,6,Felt good!
236,17,Biceps Day,2025-05-26,37,9,Felt good!
237,17,Core Day,2024-08-26,57,5,Felt good!
238,17,Shoulders Day,2025-01-16,53,4,Tough one today.
239,18,Core Day,2024-09-10,56,5,Felt good!
240,18,Biceps Day,2025-02-26,45,8,Tough one today.
241,18,Core Day,2025-07-12,65,8,Tough one today.
242,18,Triceps Day,2025-04-05,53,9,Tough one today.
243,18,Shoulders Day,2024-09-05,52,6,Felt good!
244,19,Legs Day,2025-03-05,29,8,Felt good!
245,19,Back Day,2024-11-22,63,6,Tough one today.
246,19,Chest Day,2025-03-22,44,7,Tough one today.
247,19,Biceps Day,2024-12-22,35,6,Tough one today.
248,19,Back Day,2024-11-08,44,7,Felt good!
249,19,Full Body Day,2024-12-01,53,6,Felt good!
250,19,Chest Day,2025-03-01,61,7,Felt good!
251,19,Back Day,2025-01-28,49,6,Felt good!
252,19,Triceps Day,2024-09-23,58,5,Tough one today.
253,19,Triceps Day,2025-02-23,55,6,Felt good!
254,19,Legs Day,2024-09-02,33,9,Felt good!
255,19,Shoulders Day,2025-03-06,34,9,Tough one today.
256,19,Chest Day,2024-11-24,44,5,Tough one today.
257,19,Chest Day,2025-05-16,61,8,Felt good!
258,19,Core Day,2025-02-05,55,9,Felt good!
259,19,Chest Day,2024-10-02,28,4,Tough one today.
260,19,Legs Day,2024-08-23,39,6,Felt good!
261,19,Biceps Day,2025-06-10,51,4,Felt good!
262,19,Triceps Day,2024-10-27,44,6,Tough one today.
263,19,Biceps Day,2025-07-27,39,5,Tough one today.
264,19,Core Day,2024-10-07,59,4,Tough one today.
265,19,Biceps Day,2024-10-22,30,5,Tough one today.
266,20,Core Day,2025-01-12,29,5,Felt good!
267,20,Back Day,2024-10-10,62,4,Tough one today.
268,20,Legs Day,2025-02-19,28,4,Felt good!
269,20,Biceps Day,2024-09-03,56,8,Felt good!
270,20,Triceps Day,2024-08-28,45,9,Felt good!
271,20,Shoulders Day,2025-07-02,33,7,Felt good!
272,20,Biceps Day,2024-08-16,32,8,Felt good!
273,21,Full Body Day,2025-03-15,50,8,Felt good!
274,21,Chest Day,2025-01-23,39,4,Felt good!
275,21,Triceps Day,2025-03-17,30,7,Felt good!
276,21,Back Day,2024-09-28,56,9,Felt good!
277,21,Legs Day,2024-08-24,59,9,Tough one today.
278,21,Biceps Day,2025-01-31,43,6,Felt good!
279,21,Biceps Day,2024-12-06,28,7,Felt good!
280,21,Back Day,2025-06-07,35,7,Felt good!
281,21,Triceps Day,2024-09-08,26,4,Felt good!
282,21,Back Day,2025-02-25,53,8,Felt good!
283,22,Shoulders Day,2025-07-18,38,5,Tough one today.
284,22,Legs Day,2024-08-09,58,9,Tough one today.
285,22,Shoulders Day,2024-08-12,27,7,Tough one today.
286,22,Chest Day,2025-03-22,56,7,Felt good!
287,22,Chest Day,2025-04-25,62,5,Felt good!
288,22,Back Day,2024-10-13,31,9,Tough one today.
289,22,Legs Day,2025-02-19,38,4,Tough one today.
290,22,Chest Day,2024-10-28,58,8,Felt good!
291,23,Full Body Day,2025-04-30,45,7,Felt good!
292,23,Triceps Day,2025-06-25,30,9,Tough one today.
293,23,Core Day,2025-07-27,65,4,Felt good!
294,23,Shoulders Day,2025-07-26,45,9,Felt good!
295,23,Shoulders Day,2024-09-16,52,6,Felt good!
296,23,Legs Day,2025-04-14,28,8,Tough one today.
297,23,Shoulders Day,2025-07-14,36,7,Tough one today.
298,23,Triceps Day,2024-12-17,31,7,Felt good!
299,23,Core Day,2025-03-05,25,9,Tough one today.
300,23,Biceps Day,2024-10-20,56,9,Tough one today.
301,23,Back Day,2024-10-16,42,7,Tough one today.
302,23,Shoulders Day,2025-04-10,38,7,Felt good!
303,23,Full Body Day,2025-02-26,56,8,Felt good!
304,23,Core Day,2024-09-01,53,5,Felt good!
305,23,Core Day,2024-09-02,34,5,Tough one today.
306,23,Biceps Day,2024-09-20,31,8,Tough one today.
307,23,Core Day,2024-10-28,46,9,Felt good!
308,23,Full Body Day,2025-07-10,27,4,Felt good!
309,23,Biceps Day,2024-08-29,54,8,Tough one today.
310,23,Triceps Day,2025-02-28,38,4,Felt good!
311,23,Chest Day,2024-12-31,55,4,Felt good!
312,23,Core Day,2024-09-27,30,6,Tough one today.
313,23,Triceps Day,2024-12-31,50,7,Felt good!
314,23,Triceps Day,2024-12-28,27,8,Felt good!
315,24,Triceps Day,2024-08-26,60,6,Tough one today.
316,24,Shoulders Day,2025-06-10,63,8,Felt good!
317,24,Core Day,2024-09-27,45,7,Felt good!
318,24,Core Day,2024-08-26,39,9,Felt good!
319,24,Core Day,2025-07-07,65,7,Felt good!
320,24,Triceps Day,2024-09-15,32,5,Tough one today.
321,24,Full Body Day,2025-07-29,42,8,Felt good!
322,24,Biceps Day,2025-02-27,50,5,Tough one today.
323,24,Shoulders Day,2025-05-10,57,7,Tough one today.
324,24,Back Day,2025-01-22,38,4,Felt good!
325,24,Chest Day,2024-10-10,33,9,Felt good!
326,24,Back Day,2024-10-27,30,6,Felt good!
327,24,Core Day,2024-12-28,50,9,Felt good!
328,24,Biceps Day,2024-08-18,46,5,Felt good!
329,24,Chest Day,2024-08-01,31,8,Felt good!
330,24,Back Day,2025-03-13,53,4,Felt good!
331,24,Shoulders Day,2024-11-26,55,5,Felt good!
332,24,Biceps Day,2024-09-06,44,5,Tough one today.
333,24,Biceps Day,2024-08-28,45,6,Felt good!
334,24,Shoulders Day,2024-12-27,45,7,Tough one today.
335,24,Biceps Day,2024-10-25,56,8,Tough one today.
336,24,Legs Day,2025-02-06,47,8,Tough one today.
337,24,Core Day,2025-03-09,36,5,Tough one today.
338,24,Triceps Day,2025-01-03,41,7,Felt good!
339,24,Chest Day,2024-08-20,62,4,Felt good!
340,25,Triceps Day,2024-09-13,56,9,Felt good!
341,25,Core Day,2024-11-25,28,9,Tough one today.
342,25,Biceps Day,2025-01-26,48,7,Felt good!
343,25,Core Day,2024-12-30,58,5,Felt good!
344,25,Shoulders Day,2024-08-15,31,8,Felt good!
345,25,Full Body Day,2025-01-27,45,4,Felt good!
346,25,Chest Day,2025-02-19,48,8,Felt good!
347,25,Full Body Day,2025-01-26,28,5,Felt good!
348,25,Core Day,2024-09-25,39,6,Felt good!
349,25,Biceps Day,2024-12-30,47,5,Tough one today.
350,26,Shoulders Day,2025-06-09,27,8,Felt good!
351,26,Core Day,2025-07-29,44,9,Felt good!
352,26,Triceps Day,2025-03-17,30,8,Tough one today.
353,26,Legs Day,2025-04-10,59,5,Felt good!
354,26,Full Body Day,2025-05-10,61,9,Felt good!
355,26,Back Day,2025-07-29,53,7,Tough one today.
356,26,Full Body Day,2025-04-19,55,7,Felt good!
357,26,Chest Day,2025-07-12,39,8,Tough one today.
358,26,Back Day,2025-01-12,31,5,Felt good!
359,26,Chest Day,2024-08-01,41,9,Felt good!
360,27,Core Day,2025-06-07,39,9,Tough one today.
361,27,Core Day,2024-08-02,26,8,Felt good!
362,27,Legs Day,2025-01-25,27,9,Felt good!
363,27,Shoulders Day,2024-11-17,28,4,Felt good!
364,27,Legs Day,2024-09-27,41,6,Felt good!
365,27,Back Day,2025-05-31,33,8,Tough one today.
366,27,Triceps Day,2024-12-25,48,6,Tough one today.
