fighter,age,height,wins_total,losses_total,SLpM_total,SApM_total
AJ Cunningham,29.0,177.8,11.0,4.0,7.66,11.9
AJ Dobson,32.0,185.42,7.0,3.0,4.29,5.31
AJ Fletcher,27.0,177.8,10.0,3.0,3.36,4.61
Aalon Cruz,34.0,182.88,8.0,4.0,7.58,8.88
Aaron Brink,49.0,190.5,26.0,26.0,3.49,5.71
Aaron Phillips,34.0,175.26,12.0,5.0,1.51,3.66
Aaron Riley,43.0,172.72,30.0,14.0,3.45,3.7799999999999994
Aaron Rosa,40.0,193.04,18.0,6.0,4.03,4.41
Aaron Simpson,49.0,182.88,12.0,5.0,3.6,2.53
Aaron Wilkinson,37.0,177.8,11.0,7.0,0.0,0.0
Abdul Razak Alhassan,38.0,177.80000000000004,12.0,6.0,3.3699999999999997,3.99
Abdul-Kareem Al-Selwady,28.0,172.72,15.0,4.0,4.14,3.6
Abdul-Kerim Edilov,32.0,187.96,17.0,4.0,10.22,0.13
Abel Trujillo,40.0,172.72,15.0,8.0,2.65,2.31
Abner Lloveras,41.0,180.34,20.0,9.0,6.27,6.87
Abu Azaitar,38.0,175.26,14.0,4.0,4.38,4.32
Abubakar Nurmagomedov,34.0,180.34,17.0,4.0,2.78,2.61
Abus Magomedov,33.0,187.96,25.0,6.0,3.73,5.36
Adam Cella,38.0,187.96,6.0,8.0,1.91,2.61
Adam Fugitt,35.0,185.42,9.0,4.0,4.3,5.13
Adam Milstead,36.0,190.5,8.0,4.0,3.85,4.79
Adam Wieczorek,32.0,195.58,10.0,2.0,1.68,1.87
Adam Yandiev,35.0,175.26,9.0,1.0,0.18,6.14
Adlan Amagov,37.0,187.96,14.0,2.0,3.29,0.82
Adrian Serrano,60.0,172.72,56.0,29.0,0.0,0.0
Adrian Yanez,30.0,170.18,16.0,5.0,6.15,5.7299999999999995
Adriano Martins,41.0,177.8,28.0,9.0,1.8,2.14
Adriano Santos,,185.42,0.0,1.0,0.0,0.0
Aiemann Zahabi,36.0,172.72,11.0,2.0,3.43,3.61
Ailin Perez,29.0,165.1,9.0,2.0,2.9599999999999995,1.18
Aisling Daly,36.0,157.48,16.0,6.0,2.92,1.3999999999999997
Akbarh Arreola,41.0,177.8,23.0,11.0,2.32,4.01
Akihiro Gono,49.0,170.18,35.0,21.0,2.18,2.67
Akira Corassani,41.0,172.72,12.0,6.0,3.25,4.91
Al Iaquinta,36.0,177.8,14.0,7.0,4.06,4.53
Alan Baudot,36.0,190.5,8.0,3.0,5.36,4.82
Alan Belcher,39.0,187.96,18.0,8.0,2.7,3.1
Alan Jouban,42.0,182.88,17.0,7.0,5.67,3.77
Alan Omer,35.0,177.8,20.0,5.0,3.49,2.21
Alan Patrick,40.0,180.34,15.0,4.0,1.8199999999999998,2.95
Alatengheili,32.0,165.1,16.0,9.0,2.8800000000000003,5.03
Albert Cheng,39.0,180.34,7.0,4.0,1.0,2.6
Albert Duraev,35.0,180.34,16.0,5.0,2.99,3.01
Albert Morales,32.0,175.26,7.0,4.0,3.81,3.96
Albert Tumenov,32.0,180.34,18.0,4.0,3.76,3.34
Alberta Cerra Leon,,172.72,0.0,1.0,0.0,0.0
Alberto Crane,47.0,165.1,15.0,5.0,0.43,2.61
Alberto Mina,41.0,182.88,13.0,1.0,3.23,3.7
Alberto Uda,39.0,190.5,12.0,2.0,1.79,3.49
Alejandro Perez,34.0,167.64,23.0,9.0,3.4500000000000006,3.18
Aleksa Camur,28.0,185.42,6.0,3.0,4.73,4.26
Aleksandar Rakic,32.0,193.04,14.0,3.0,4.01,2.3
Aleksandra Albu,33.0,157.48,3.0,2.0,4.83,5.56
Aleksei Kunchenko,39.0,172.72,20.0,2.0,3.67,2.83
Aleksei Oleinik,46.0,187.96,60.0,17.0,3.29,3.8
Alen Amedovski,35.0,177.8,8.0,4.0,0.99,3.85
Alessandro Costa,28.0,162.56,13.0,4.0,3.75,3.61
Alessio Di Chirico,34.0,182.88,13.0,7.0,3.32,3.4399999999999995
Alessio Sakara,42.0,182.87999999999997,19.0,11.0,3.96,2.8
Alex Andrade,49.0,180.34,10.0,5.0,0.2,2.6
Alex Caceres,35.0,177.8,21.0,14.0,4.16,2.93
Alex Chambers,45.0,160.02,5.0,5.0,2.97,5.1
Alex Da Silva,28.0,172.72,21.0,4.0,2.14,2.52
Alex Garcia,36.0,175.26,15.0,6.0,1.81,3.03
Alex Gorgees,28.0,187.96,6.0,1.0,0.67,2.27
Alex Hunter,,175.26,2.0,0.0,0.0,0.0
Alex Karalexis,46.0,172.72,10.0,6.0,2.57,2.39
Alex Morono,33.0,180.34,23.0,9.0,5.02,4.17
Alex Nicholson,33.0,193.04,7.0,4.0,4.12,4.65
Alex Oliveira,36.0,180.34,22.0,12.0,2.99,2.55
Alex Pereira,36.0,193.04,9.0,2.0,5.0,3.65
Alex Perez,32.0,167.64,24.0,8.0,4.12,3.14
Alex Reyes,37.0,180.34,13.0,4.0,4.04,10.91
Alex Ricci,41.0,180.34,10.0,5.0,2.48,2.53
Alex Schoenauer,47.0,190.5,15.0,10.0,1.22,2.27
Alex Soto,40.0,172.72,8.0,3.0,2.95,5.02
Alex Stiebling,,187.96,19.0,11.0,1.77,1.45
Alex Torres,35.0,177.8,5.0,4.0,2.47,2.73
Alex White,35.0,182.88,13.0,6.0,3.7599999999999993,3.07
Alexa Grasso,30.0,165.1,16.0,3.0,4.67,3.95
Alexander Gustafsson,37.0,195.58,18.0,8.0,4.03,3.53
Alexander Hernandez,31.0,175.26,14.0,7.0,4.63,4.9
Alexander Munoz,34.0,175.26,7.0,2.0,3.7000000000000006,4.73
Alexander Volkanovski,35.0,167.64,26.0,4.0,6.16,3.44
Alexander Volkov,35.0,200.66,37.0,10.0,5.1,3.0
Alexander Yakovlev,39.0,190.5,24.0,10.0,1.74,2.41
Alexandr Romanov,33.0,187.96,17.0,2.0,4.06,2.2
Alexandre Barros,47.0,175.26,22.0,11.0,0.98,4.05
Alexandre Dantas,45.0,187.96,0.0,3.0,0.21,1.87
Alexandre Ferreira,44.0,170.18,18.0,6.0,2.57,8.14
Alexandre Pantoja,33.0,165.1,27.0,5.0,4.32,3.9
Alexis Davis,39.0,167.64000000000001,21.0,11.0,4.63,4.45
Alexis Dufresne,33.0,175.26,6.0,3.0,1.33,3.33
Ali AlQaisi,33.0,167.64,8.0,5.0,2.43,1.97
Ali Bagautinov,38.0,162.56,15.0,6.0,2.85,3.09
Aliaskhab Khizriev,33.0,175.26,14.0,0.0,6.01,4.38
Alistair Overeem,43.0,193.04,47.0,19.0,3.6700000000000004,2.44
Aljamain Sterling,34.0,170.18,23.0,4.0,4.73,2.41
Allan Goes,52.0,182.88,10.0,5.0,0.64,1.35
Allan Nascimento,32.0,172.72,20.0,6.0,3.2099999999999995,2.28
Allan Zuniga,31.0,170.18,13.0,1.0,3.93,1.8
Allen Berube,49.0,172.72,4.0,3.0,0.92,0.92
Allen Crowder,34.0,190.5,10.0,4.0,2.9500000000000006,2.9500000000000006
Alonzo Menifield,36.0,182.88,15.0,3.0,3.92,3.51
Alptekin Ozkilic,38.0,165.1,9.0,5.0,3.81,5.72
Alvaro Herrera Mendoza,33.0,182.88,9.0,6.0,1.89,3.4
Alvin Robinson,41.0,175.26,15.0,9.0,1.57,1.29
Amanda Cooper,32.0,160.02,3.0,5.0,3.5499999999999994,3.2000000000000006
Amanda Lemos,36.0,162.56,14.0,3.0,3.43,4.21
Amanda Nunes,35.0,172.72,23.0,5.0,4.55,2.62
Amanda Ribas,30.0,160.02,12.0,5.0,4.63,3.4
Amar Suloev,47.0,175.26,24.0,7.0,1.98,2.19
Amaury Bitetti,,175.26,5.0,2.0,0.0,0.0
Amilcar Alves,35.0,182.88,15.0,12.0,0.5,2.02
Amir Albazi,30.0,165.1,17.0,1.0,2.8,3.07
Amir Sadollah,43.0,177.8,6.0,5.0,4.71,3.55
Anderson Dos Santos,38.0,165.1,21.0,9.0,2.7,5.37
Anderson Silva,48.0,187.96,34.0,11.0,3.0499999999999994,2.05
Andre Ewell,36.0,172.72,17.0,9.0,4.28,4.87
Andre Fialho,29.0,182.87999999999997,16.0,8.0,3.3,6.26
Andre Fili,33.0,180.34,23.0,11.0,3.8500000000000005,4.11
Andre Gusmao,46.0,182.88,6.0,3.0,2.79,3.28
Andre Lima,25.0,170.18,8.0,0.0,3.98,2.67
Andre Muniz,34.0,185.42,24.0,6.0,1.97,1.99
Andre Pederneiras,57.0,172.72,1.0,1.0,0.0,0.0
Andre Petroski,32.0,182.88,10.0,3.0,3.61,3.03
Andre Roberts,59.0,187.96,14.0,2.0,0.0,0.0
Andre Soukhamthath,35.0,175.26,13.0,8.0,2.77,4.31
Andre Winner,42.0,180.34,21.0,11.0,2.52,4.57
Andrea Lee,35.0,167.64,13.0,9.0,4.69,3.76
Andreas Michailidis,35.0,182.88,13.0,6.0,2.9,3.57
Andreas Stahl,35.0,180.34,10.0,4.0,2.83,4.74
Andrei Arlovski,45.0,190.5,34.0,23.0,3.78,3.2
Andrei Semenov,46.0,182.88,34.0,9.0,0.78,2.44
Andrew Craig,38.0,185.42,9.0,4.0,2.39,3.0100000000000002
Andrew Holbrook,38.0,180.34,12.0,3.0,2.2,3.0
Andrew Sanchez,35.0,185.42,13.0,7.0,4.3,5.1
Andy Anderson,49.0,167.64,0.0,1.0,0.0,0.0
Andy Enz,32.0,190.5,10.0,4.0,3.51,5.32
Andy Ogle,35.0,172.72,9.0,6.0,2.24,2.23
Andy Wang,46.0,167.64,7.0,8.0,3.43,10.29
Ange Loosa,31.0,177.80000000000004,10.0,3.0,6.09,6.669999999999999
Angela Hill,39.0,160.02,16.0,13.0,5.44,4.94
Angela Magana,40.0,154.94,11.0,9.0,1.53,4.92
Anistavio Medeiros,35.0,167.64,19.0,10.0,3.64,5.0
Anna Elmose,39.0,160.02,3.0,2.0,3.68,4.64
Ansar Chalangov,44.0,175.26,14.0,5.0,0.68,1.69
Anshul Jubli,29.0,182.88,7.0,1.0,6.48,5.61
Anthony Birchak,37.0,172.72,16.0,8.0,3.93,3.67
Anthony Christodoulou,36.0,175.26,12.0,7.0,2.19,5.9
Anthony Hamilton,43.0,195.58,15.0,9.0,3.91,3.02
Anthony Hernandez,30.0,182.88,12.0,2.0,4.3,3.46
Anthony Ivy,34.0,187.96,8.0,4.0,2.5,4.57
Anthony Johnson,40.0,187.96,22.0,6.0,3.25,1.83
Anthony Lapsley,44.0,175.26,23.0,7.0,0.53,0.58
Anthony Macias,,175.26,26.0,18.0,0.0,0.0
Anthony Njokuani,44.0,185.42,16.0,12.0,3.94,2.41
Anthony Perosh,51.0,190.5,15.0,10.0,2.27,3.77
Anthony Pettis,37.0,177.8,24.0,10.0,3.05,3.44
Anthony Rocco Martin,34.0,182.88,17.0,6.0,2.68,2.5899999999999994
Anthony Smith,35.0,193.04,37.0,19.0,3.21,4.47
Anthony Torres,45.0,172.72,5.0,3.0,3.54,7.52
Anton Kuivanen,39.0,172.72,24.0,10.0,2.27,1.63
Anton Turkalj,27.0,193.04,8.0,3.0,1.72,2.48
Anton Zafir,36.0,180.34,7.0,3.0,2.99,2.31
Antoni Hardonk,48.0,193.04,8.0,6.0,3.4,3.07
Antonina Shevchenko,39.0,172.72,10.0,4.0,3.86,2.93
Antonio Arroyo,34.0,190.5,9.0,5.0,2.82,2.02
Antonio Banuelos,44.0,165.1,20.0,11.0,2.69,3.15
Antonio Braga Neto,36.0,190.5,9.0,3.0,1.36,3.92
